掲載可否,開始日,終了日,区分,イベント名,場所,時間,規模・備考,みるくコメント,モチーフ,写真ファイル名,情報源,URL,確度,登録日
保留,2026-07-31,2026-08-05,花火,芦ノ湖夏まつりウィーク,芦ノ湖,,期間中は連日 水上花火,夏のはじまりにゃ〜,花火,,広報はこね 令和8年7月号,https://www.town.hakone.kanagawa.jp/www/contents/1782800201113/index.html,高,2026-07-29
保留,2026-08-02,2026-08-02,地域のおまつり,御神幸祭,芦ノ湖,,,,夏,,箱根ナビ,https://www.hakonenavi.jp/guide/eventcalendar/,中,2026-07-29
保留,2026-08-02,2026-08-03,イベント,箱根園サマーナイトフェスタ,芦ノ湖・元箱根,,,,花火,,箱根ナビ,https://www.hakonenavi.jp/guide/eventcalendar/,中,2026-07-29
保留,2026-08-03,2026-08-03,地域のおまつり,太閤ひょうたん祭,宮ノ下,,,ひょうたん気になるにゃ,夏,,箱根ナビ,https://www.hakonenavi.jp/guide/eventcalendar/,中,2026-07-29
保留,2026-08-04,2026-08-04,地域のおまつり,湖尻龍神祭,芦ノ湖・湖尻,,,,夏,,箱根ナビ,https://www.hakonenavi.jp/guide/eventcalendar/,中,2026-07-29
保留,2026-08-05,2026-08-05,灯り・花火,鳥居焼まつり・流燈祭,芦ノ湖・湖尻,,,しずかで きれいにゃ,花火,,箱根ナビ,https://www.hakonenavi.jp/guide/eventcalendar/,中,2026-07-29
保留,2026-08-08,2026-08-08,地域のおまつり,大平台温泉姫祭り,大平台,,,,夏,,広報はこね 令和8年7月号,https://www.town.hakone.kanagawa.jp/www/contents/1782800201113/index.html,高,2026-07-29
保留,2026-08-11,2026-08-11,地域のおまつり,大平台温泉夏まつり,大平台,,,,夏,,箱根ナビ,https://www.hakonenavi.jp/guide/eventcalendar/,中,2026-07-29
保留,2026-08-15,2026-08-15,地域のおまつり,宮城野虫送り火祭,宮城野,,,,花火,,広報はこね 令和8年7月号,https://www.town.hakone.kanagawa.jp/www/contents/1782800201113/index.html,高,2026-07-29
保留,2026-08-16,2026-08-16,灯り・花火,大文字焼,強羅,,箱根の夏の締めくくり,夏のおわりにゃ,花火,,箱根ナビ,https://www.hakonenavi.jp/guide/eventcalendar/,中,2026-07-29
○,2026-09-13,2026-09-13,地域のおまつり,仙石原すすきまつり,仙石原文化センター,,照会先 社会教育センター 85-2694,ご近所のおまつりにゃ,すすき,,広報はこね 令和8年7月号,https://www.town.hakone.kanagawa.jp/www/contents/1782800201113/index.html,高,2026-07-29
保留,2026-09-06,2026-09-06,音楽・文化,箱根学生音楽祭,仙石原,,9月上旬。日程要確認,,新緑,,箱根ナビ,https://www.hakonenavi.jp/guide/eventcalendar/,低,2026-07-29
保留,2026-09-09,2026-09-09,地域のおまつり,湯本熊野神社祭,湯本,,,,夏,,箱根ナビ,https://www.hakonenavi.jp/guide/eventcalendar/,中,2026-07-29
保留,2026-10-15,2026-10-15,地域のおまつり,芦刈まつり,芦之湯,,10月中旬。日程要確認,,すすき,,箱根ナビ,https://www.hakonenavi.jp/guide/eventcalendar/,低,2026-07-29
保留,2026-10-24,2026-10-24,地域のおまつり,元宮例祭,駒ケ岳,,,,紅葉,,箱根ナビ,https://www.hakonenavi.jp/guide/eventcalendar/,中,2026-07-29
保留,2026-11-03,2026-11-03,イベント,箱根大名行列,湯本,,箱根の秋の大物,これは人が多いにゃ,紅葉,,箱根ナビ,https://www.hakonenavi.jp/guide/eventcalendar/,中,2026-07-29
保留,2026-11-15,2026-11-15,音楽・文化,箱根秋の音楽祭,仙石原,,11月中旬。日程要確認,,紅葉,,箱根ナビ,https://www.hakonenavi.jp/guide/eventcalendar/,低,2026-07-29
保留,2026-11-17,2026-11-17,地域のおまつり,塔之沢火伏観音菩薩例大祭,塔之沢,,,,紅葉,,箱根ナビ,https://www.hakonenavi.jp/guide/eventcalendar/,中,2026-07-29
保留,2026-07-21,2026-08-31,おしらせ,町立観光施設が小中学生無料,箱根関所・箱根湿生花園・ジオミュージアム・郷土資料館・森のふれあい館,,各施設の窓口で名前と住所を記入,夏休みにぴったりにゃ,夏,,広報はこね 令和8年7月号,https://www.town.hakone.kanagawa.jp/www/contents/1782800201113/index.html,高,2026-07-29
保留,2026-10-10,2026-11-10,自然・季節,仙石原のすすき草原,仙石原（台ヶ岳のふもと）,日の入り前がおすすめ,見頃の目安。イベントが少ない週の埋め草に使える,あたり一面が金色になるにゃ,すすき,,常設,,高,2026-07-29
