ゲーム名,プレイ人数,プレイ時間,対象年齢,発売年
五番街,2人～4人,60分～100分,12歳～,2004年～
こねこミキサー,2人～4人,30分前後,8歳～,2011年～
古代ローマの新しいゲーム,2人～7人,10分前後,10歳～,1994年～
古代,2人～6人,90分～120分,12歳～,2005年～
コズミック・エンカウンター,2人～6人,90分前後,12歳～,1977年～
ごきぶりポーカー,2人～6人,20分前後,8歳～,2004年～
ごきぶりキッチン,2人～4人,15分～20分,6歳～,2015年～
ゴールド,2人～3人,20分前後,8歳～,2011年～
ゴーストップ,2人～6人,10分前後,9歳～,2005年～
ゴースト・フォー・セール / ゴースト売ります,3人～5人,40分前後,8歳～,2007年～
交易王,2人～4人,30分前後,12歳～,2007年～
ごいた / ごいたカード / 奥能登伝承娯楽 ごいた / 天九紙牌,3人～4人,30分前後,8歳～,2012年～
ゴア,2人～4人,90分～110分,12歳～,2004年～
原始スープ,3人～4人,90分前後,12歳～,1997年～
ケルト：スパイラル,2人～4人,30分前後,10歳～,2010年～
ケルト：カード,2人～4人,20分前後,8歳～,2009年～
ケルト：タイル,2人～4人,15分前後,7歳～,2009年～
ケルト,2人～4人,30分前後,10歳～,2008年～
決算日,2人～4人,30分～45分,10歳～,2002年～
ゲシェンク,3人～7人,20分～30分,8歳～,2004年～
ケイラス,2人～5人,60分～150分,12歳～,2005年～
クワークル・キューブ,2人～4人,30分～60分,6歳～,2009年～
クロンダイク,2人～4人,20分前後,6歳～,1993年～
グレンモア,2人～5人,60分～80分,10歳～,2010年～
クレタ,2人～4人,60分前後,11歳～,2005年～
クレオパトラと建築家たち,3人～5人,60分前後,10歳～,2006年～
グレート・ウエスタン・トレイル,2人～4人,75分～150分,12歳～,2016年～
クレイジー・ダンシング,6人～24人,30分前後,8歳～,2009年～
くるりんモグラ,2人～6人,20分～30分,5歳～,2005年～
くるりんパニック！！ / クルクルケッコー / どきどきクレイジープレーン,2人～4人,10分～20分,5歳～,2006年～
グリュックス,2人～4人,30分～45分,8歳～,2016年～
グリード,2人～6人,30分前後,7歳～,1986年～
グランクリュ,2人～5人,90分前後,12歳～,2010年～
クラフトワーゲン,2人～4人,75分前後,10歳～,2015年～
グラフィティ,3人～8人,不明,12歳～,2007年～
クラスク,2人用,10分前後,8歳～,2014年～
クラウド9,3人～6人,30分前後,8歳～,1999年～
ククカード,2人～40人,2分前後,8歳～,2004年～
クク21,5人～12人,30分前後,6歳～,2012年～
クオ ヴァディス,3人～5人,45分前後,12歳～,1992年～
クーハンデルマスター,2人～6人,60分前後,10歳～,2009年～
クー,3人～6人,15分前後,9歳～,2012年～
クイズいいセン行きまSHOW！,3人～10人,10分～30分,8歳～,2008年～
クアルト,2人用,20分前後,6歳～,1991年～
クアルト：ミニ,2人用,20分前後,6歳～,2009年～
クァークス,1人～4人,45分前後,7歳～,1980年～
キング・オブ・トーキョー,2人～6人,30分～60分,8歳～,2011年～
キュージェット,2人～6人,30分前後,12歳～,2004年～
キャンプ,2人用,30分～40分,12歳～,1993年～
キャントストップ,2人～4人,30分前後,9歳～,1980年～
ギャラクシートラッカー,2人～4人,60分～80分,10歳～,2007年～
キャメロットを覆う影,3人～7人,60分～80分,10歳～,2005年～
キャメルアップ,2人～8人,20分～30分,8歳～,2014年～
キャプテン・リノ,2人～5人,5分～15分,5歳～,2010年～
キャット＆チョコレート：学園編,3人～6人,30分前後,8歳～,2013年～
ギプフ,2人用,30分～60分,9歳～,1998年～
キピット,2人用,30分前後,5歳～,1999年～
貴族のつとめ,2人～5人,60分～90分,12歳～,1990年～
キーフラワー,2人～6人,90分～120分,12歳～,2012年～
カルタヘナ,2人～5人,45分前後,8歳～,2000年～
カルカソンヌ：10周年記念版,2人～5人,45分前後,13歳～,2011年～
狩歌 基本セット,2人～8人,15分～30分,10歳～,2016年～
カラヤのスルタン,5人～15人,45分～75分,12歳～,2016年～
ガラガラヘビ,2人～4人,10分～20分,8歳～,2007年～
カヤナック,2人～4人,20分～30分,6歳～,1999年～
カツカレー喰ってる場合か？,4人～6人,30分前後,8歳～,2012年～
カタン：カプコン版,3人～4人,60分前後,10歳～,2002年～
カタン：航海者版,3人～4人,90分前後,10歳～,1997年～
カタン： 都市と騎士（拡張）,3人～4人,90分前後,12歳～,1998年～
カタン,3人～4人,40分～60分,10歳～,1995年～
傾いてる傾いてるよオイ！,2人～4人,15分前後,5歳～,2004年～
カヴェルナ：洞窟の農夫たち,1人～7人,30分～210分,12歳～,2013年～
海底探険,2人～6人,30分前後,8歳～,2014年～
海賊ブラック,2人～4人,15分前後,5歳～,2006年～
海賊組合,3人～5人,45分～55分,8歳～,2006年～
ガイスター,2人用,15分前後,6歳～,1982年～
お蜜柑様,4人～13人,不明,不明,2014年～
お宝はまぢか,2人～4人,20分～30分,5歳～,2006年～
お先に失礼しま～す！,2人～4人,20分～30分,8歳～,2008年～
お邪魔者,3人～10人,30分前後,8歳～,2004年～
